nyt_id,facility_name,facility_type,facility_city,facility_county,facility_county_fips,facility_state,facility_lng,facility_lat,latest_inmate_population,max_inmate_population_2020,total_inmate_cases,total_inmate_deaths,total_officer_cases,total_officer_deaths,note
7120943C,Goose Creek Correctional Center,State prison,Wasilla,Matanuska-Susitna,2170,Alaska,-149.9900218,61.3600947,1293.0,1348.0,1041,0,0,0.0,
AA807759,Arizona State Prison Complex – Douglas,State prison,Douglas,Cochise,4003,Arizona,-109.6001473,31.4455003,1848.0,2132.0,1163,0,0,0.0,
91B22ADD,Eyman Complex prison,State prison,Florence,Pinal,4021,Arizona,-111.3375688,33.0314738,5362.0,5471.0,2023,5,0,0.0,
0CF96DB1,Arizona State Prison Complex – Yuma,State prison,San Luis,Yuma,4027,Arizona,-114.6430823,32.4941306,4316.0,4862.0,2010,6,0,0.0,
E830C278,Arizona State Prison Complex – Lewis,State prison,Buckeye,Maricopa,4013,Arizona,-112.6443652,33.2012808,4617.0,4617.0,1310,2,0,0.0,
84A26E27,Arizona State Prison Complex – Tucson,State prison,Tucson,Pima,4019,Arizona,-110.8588515,32.0667504,4566.0,5067.0,2241,12,1,0.0,
14BB62A3,Cummins Unit prison,State prison,Grady,Lincoln,5079,Arkansas,-91.5840036,34.0521395,1859.0,1967.0,1147,12,72,0.0,
26030F83,Ouachita River Unit prison,State prison,Malvern,Hot Spring,5059,Arkansas,-92.8428947,34.3448845,1711.0,1755.0,1673,22,48,0.0,
AF49C345,Wrightsville Unit prison,State prison,Wrightsville,Pulaski,5119,Arkansas,-92.211039,34.6058119,815.0,847.0,1055,3,19,0.0,
41367DB9,Avenal State Prison,State prison,Avenal,Kings,6031,California,-120.1233101,35.9743318,3469.0,4158.0,3108,8,532,0.0,
C7D46C2A,California City Correctional Facility,State prison,California City,Kern,6029,California,-117.8584365,35.1515388,2073.0,,1000,2,235,0.0,
004CF496,Calipatria State Prison,State prison,Calipatria,Imperial,6025,California,-115.4847385,33.1630656,2884.0,3113.0,1123,2,365,2.0,
5D1942E3,California Correctional Center,State prison,Susanville,Lassen,6035,California,-120.5143547,40.4021977,2697.0,3798.0,1366,0,295,0.0,
6452DAAD,California Correctional Institution,State prison,Tehachapi,Kern,6029,California,-118.5694868,35.1133011,3165.0,3715.0,1382,4,648,1.0,
D1937261,California Institution for Men,State prison,Chino,San Bernardino,6071,California,-117.6826422,33.981973,2341.0,3098.0,1501,27,585,2.0,
98C61AE2,California Men’s Colony prison,State prison,San Luis Obispo,San Luis Obispo,6079,California,-120.6944703,35.3253675,3244.0,3823.0,2472,10,527,0.0,
C8742A7C,Corcoran State Prison,State prison,Corcoran,Kings,6031,California,-119.554854,36.0580478,3274.0,3453.0,1075,3,735,0.0,
E156FD9F,California Rehabilitation Center prison,State prison,Norco,Riverside,6065,California,-117.5735217,33.9303457,2500.0,2589.0,1993,1,497,1.0,
550543A1,Soledad prison,State prison,Soledad,Monterey,6053,California,-121.3826401,36.470807,4374.0,,2719,18,355,2.0,
9A9CC384,Chuckawalla Valley State Prison,State prison,Blythe,Riverside,6065,California,-114.9088546,33.5628161,2017.0,2261.0,1783,9,282,1.0,
A869BA9E,Folsom prison,State prison,Represa,Sacramento,6067,California,-121.1637263,38.6960263,2389.0,2637.0,1369,2,218,0.0,
988AEE63,High Desert State Prison,State prison,Susanville,Lassen,6035,California,-120.5161431,40.4088696,3335.0,3572.0,2033,2,574,0.0,
368DB6EF,Ironwood State Prison,State prison,Blythe,Riverside,6065,California,-114.9267493,33.560697,2916.0,3205.0,1568,1,382,1.0,
238D748E,Los Angeles County state prison,State prison,Lancaster,Los Angeles,6037,California,-118.2276434,34.6934153,2991.0,3149.0,1546,13,607,1.0,
9860F4EA,Mule Creek State Prison,State prison,Ione,Amador,6005,California,-120.9537285,38.3706309,3788.0,3917.0,1846,8,409,1.0,
