date,geoid,county,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2020-03-09,USA-39035,Cuyahoga,Ohio,3,0.43,0.03,0,0.0,0.0
2020-03-10,USA-39035,Cuyahoga,Ohio,0,0.43,0.03,0,0.0,0.0
2020-03-11,USA-39151,Stark,Ohio,1,0.14,0.04,0,0.0,0.0
2020-03-11,USA-39035,Cuyahoga,Ohio,0,0.43,0.03,0,0.0,0.0
2020-03-12,USA-39155,Trumbull,Ohio,1,0.14,0.07,0,0.0,0.0
2020-03-12,USA-39151,Stark,Ohio,0,0.14,0.04,0,0.0,0.0
2020-03-12,USA-39035,Cuyahoga,Ohio,0,0.43,0.03,0,0.0,0.0
2020-03-13,USA-39155,Trumbull,Ohio,0,0.14,0.07,0,0.0,0.0
2020-03-13,USA-39151,Stark,Ohio,0,0.14,0.04,0,0.0,0.0
2020-03-13,USA-39035,Cuyahoga,Ohio,8,1.57,0.13,0,0.0,0.0
2020-03-14,USA-39157,Tuscarawas,Ohio,1,0.14,0.16,0,0.0,0.0
2020-03-14,USA-39155,Trumbull,Ohio,1,0.29,0.14,0,0.0,0.0
2020-03-14,USA-39153,Summit,Ohio,2,0.29,0.05,0,0.0,0.0
2020-03-14,USA-39151,Stark,Ohio,1,0.29,0.08,0,0.0,0.0
2020-03-14,USA-39093,Lorain,Ohio,1,0.14,0.05,0,0.0,0.0
2020-03-14,USA-39049,Franklin,Ohio,1,0.14,0.01,0,0.0,0.0
2020-03-14,USA-39035,Cuyahoga,Ohio,0,1.57,0.13,0,0.0,0.0
2020-03-14,USA-39017,Butler,Ohio,4,0.57,0.15,0,0.0,0.0
2020-03-14,USA-39013,Belmont,Ohio,2,0.29,0.43,0,0.0,0.0
2020-03-15,USA-39157,Tuscarawas,Ohio,0,0.14,0.16,0,0.0,0.0
2020-03-15,USA-39155,Trumbull,Ohio,0,0.29,0.14,0,0.0,0.0
2020-03-15,USA-39153,Summit,Ohio,0,0.29,0.05,0,0.0,0.0
2020-03-15,USA-39151,Stark,Ohio,1,0.43,0.12,0,0.0,0.0
2020-03-15,USA-39103,Medina,Ohio,1,0.14,0.08,0,0.0,0.0
2020-03-15,USA-39095,Lucas,Ohio,1,0.14,0.03,0,0.0,0.0
2020-03-15,USA-39093,Lorain,Ohio,1,0.29,0.09,0,0.0,0.0
2020-03-15,USA-39049,Franklin,Ohio,2,0.43,0.03,0,0.0,0.0
2020-03-15,USA-39035,Cuyahoga,Ohio,3,2.0,0.16,0,0.0,0.0
2020-03-15,USA-39017,Butler,Ohio,2,0.86,0.22,0,0.0,0.0
2020-03-15,USA-39013,Belmont,Ohio,0,0.29,0.43,0,0.0,0.0
