id,Address,CITY,REGION,POSTCODE
15850,1972 E   120 ST,CLEVELAND,OH,44106
31822,2200 DELAWARE DR,CLEVELAND HEIGHTS,OH,44106
47687,1937 E   120 ST,CLEVELAND,OH,44106
47688,1961 E   120 ST,CLEVELAND,OH,44106
65312,1960 DENTON DR,CLEVELAND HEIGHTS,OH,44106
65313,2232 ELANDON DR,CLEVELAND HEIGHTS,OH,44106
76038,9500 EUCLID AVE,CLEVELAND,OH,44106
128002,2748 EUCLID HEIGHTS BLVD,CLEVELAND HEIGHTS,OH,44106
144782,2055 ADELBERT RD,CLEVELAND,OH,44106
145795,2250 CIRCLE DR,CLEVELAND,OH,44106
156456,1337 E   124 ST,CLEVELAND,OH,44106
171746,2176 E   100 ST,CLEVELAND,OH,44106
171747,2324 E   101 ST,CLEVELAND,OH,44106
171748,2326 E   101 ST,CLEVELAND,OH,44106
171749,2330 E   101 ST,CLEVELAND,OH,44106
171750,2334 E   101 ST,CLEVELAND,OH,44106
171752,1490 EAST BLVD,CLEVELAND,OH,44106
171753,1491 EAST BLVD,CLEVELAND,OH,44106
171754,1493 EAST BLVD,CLEVELAND,OH,44106
171755,1492 EAST BLVD,CLEVELAND,OH,44106
171756,1425 EAST BLVD,CLEVELAND,OH,44106
171757,1307 E   88 ST,CLEVELAND,OH,44106
171758,1311 E   88 ST,CLEVELAND,OH,44106
171759,8706 SUPERIOR AVE,CLEVELAND,OH,44106
171760,1316 E   88 ST,CLEVELAND,OH,44106
171761,1319 E   88 ST,CLEVELAND,OH,44106
171762,1344 E   88 ST,CLEVELAND,OH,44106
171763,8807 WADE PARK AVE,CLEVELAND,OH,44106
171764,1378 E   86 ST,CLEVELAND,OH,44106
171783,1464 E   111 ST,CLEVELAND,OH,44106
171804,11206 ORVILLE AVE,CLEVELAND,OH,44106
171805,9313 WADE PARK AVE,CLEVELAND,OH,44106
171810,10808 SUPERIOR AVE,CLEVELAND,OH,44106
171860,9277 AMESBURY AVE,CLEVELAND,OH,44106
171863,1399 E   95 ST,CLEVELAND,OH,44106
171864,11130 BELLFLOWER RD,CLEVELAND,OH,44106
171871,1341 E   114 ST,CLEVELAND,OH,44106
171874,11211 HESSLER RD,CLEVELAND,OH,44106
171875,11312 HESSLER RD,CLEVELAND,OH,44106
171876,1347 LAKEVIEW RD,CLEVELAND,OH,44106
171878,1594 E   93 ST,CLEVELAND,OH,44106
171882,9235 ROSALIND AVE,CLEVELAND,OH,44106
171891,1441 E   86 ST,CLEVELAND,OH,44106
171985,10818 CARNEGIE AVE,CLEVELAND,OH,44106
171986,10820 CARNEGIE AVE,CLEVELAND,OH,44106
171987,11424 CEDAR GLEN PKWY,CLEVELAND,OH,44106
172042,1404 EAST BLVD,CLEVELAND,OH,44106
172043,1408 EAST BLVD,CLEVELAND,OH,44106
172048,10903 HULL AVE,CLEVELAND,OH,44106
172051,1408 E   115 ST,CLEVELAND,OH,44106
172056,2230 E   87 ST,CLEVELAND,OH,44106
172057,11324 EUCLID AVE,CLEVELAND,OH,44106
172058,1489 EAST BLVD,CLEVELAND,OH,44106
172078,9109 BIRCHDALE AVE,CLEVELAND,OH,44106
172083,11333 SUPERIOR AVE,CLEVELAND,OH,44106
172084,1334 E   112 ST,CLEVELAND,OH,44106
172092,10808 CHURCHILL AVE,CLEVELAND,OH,44106
172093,11600 BEULAH AVE,CLEVELAND,OH,44106
172108,2230 E   97 ST,CLEVELAND,OH,44106
172109,1382 E   91 ST,CLEVELAND,OH,44106
172116,1366 E   114 ST,CLEVELAND,OH,44106
172117,1319 EAST BLVD,CLEVELAND,OH,44106
172119,1325 E   117 ST,CLEVELAND,OH,44106
172182,9216 KENMORE AVE,CLEVELAND,OH,44106
172183,9224 KENMORE AVE,CLEVELAND,OH,44106
172184,9232 KENMORE AVE,CLEVELAND,OH,44106
172185,9240 KENMORE AVE,CLEVELAND,OH,44106
172186,9010 KENMORE AVE,CLEVELAND,OH,44106
172187,9110 KENMORE AVE,CLEVELAND,OH,44106
172188,1590 CRAWFORD RD,CLEVELAND,OH,44106
172189,1795 E   93 ST,CLEVELAND,OH,44106
172190,9334 AMESBURY AVE,CLEVELAND,OH,44106
172248,0 SUPERIOR AVE,CLEVELAND,OH,44106
172249,0 SUPERIOR AVE,CLEVELAND,OH,44106
172250,11508 SUPERIOR AVE,CLEVELAND,OH,44106
172251,11910 SUPERIOR AVE,CLEVELAND,OH,44106
172320,1610 HOLYROOD RD,CLEVELAND,OH,44106
172322,11022 WADE PARK AVE,CLEVELAND,OH,44106
172324,12014 ASHBURY AVE,CLEVELAND,OH,44106
172325,1313 E   85 ST,CLEVELAND,OH,44106
172327,1321 E   85 ST,CLEVELAND,OH,44106
172329,1381 E   85 ST,CLEVELAND,OH,44106
172330,1415 E   85 ST,CLEVELAND,OH,44106
172367,1415 EAST BLVD,CLEVELAND,OH,44106
172368,1417 EAST BLVD,CLEVELAND,OH,44106
172369,1420 EAST BLVD,CLEVELAND,OH,44106
172370,1423 EAST BLVD,CLEVELAND,OH,44106
172371,1447 EAST BLVD,CLEVELAND,OH,44106
172372,1449 EAST BLVD,CLEVELAND,OH,44106
172373,1451 EAST BLVD,CLEVELAND,OH,44106
172374,1454 EAST BLVD,CLEVELAND,OH,44106
172375,1458 EAST BLVD,CLEVELAND,OH,44106
172376,1461 EAST BLVD,CLEVELAND,OH,44106
