variable,group,value
2021-09-26,43001,11.0
2021-10-03,43001,21.0
2021-10-17,43001,19.0
2021-10-24,43001,13.0
2021-10-31,43001,10.0
2021-11-07,43001,12.0
2021-11-14,43001,11.0
2021-11-17,43001,6.0
2021-11-28,43001,11.0
2021-12-01,43001,13.0
2021-12-05,43001,17.0
2021-12-12,43001,24.0
2021-12-19,43001,23.0
2021-12-26,43001,14.0
2022-01-02,43001,34.0
2022-01-09,43001,44.0
2022-01-16,43001,57.0
2022-01-23,43001,50.0
2022-01-30,43001,25.0
2022-02-06,43001,11.0
2022-02-13,43001,8.0
2022-02-20,43001,0.0
2022-02-27,43001,0.0
2022-03-06,43001,0.0
2022-03-13,43001,0.0
2022-03-24,43001,0.0
2022-03-31,43001,0.0
2022-04-07,43001,0.0
2022-04-21,43001,0.0
2022-04-28,43001,0.0
2022-05-05,43001,0.0
2022-05-12,43001,0.0
2022-05-19,43001,7.0
2022-05-26,43001,5.0
2022-06-02,43001,0.0
2022-06-09,43001,0.0
2022-06-23,43001,0.0
2022-06-30,43001,0.0
2022-07-07,43001,0.0
2022-07-14,43001,8.0
2022-07-21,43001,6.0
2022-07-28,43001,7.0
2022-08-04,43001,8.0
2022-08-11,43001,6.0
2022-08-18,43001,6.0
2022-08-25,43001,7.0
2022-09-01,43001,8.0
2022-09-08,43001,8.0
2022-09-15,43001,0.0
2022-09-22,43001,6.0
2022-09-29,43001,0.0
2022-10-06,43001,0.0
2022-10-13,43001,0.0
2022-10-20,43001,0.0
2022-10-27,43001,0.0
2022-11-03,43001,0.0
2022-11-10,43001,0.0
2022-11-17,43001,0.0
2022-11-23,43001,6.0
2022-12-01,43001,0.0
2022-12-08,43001,5.0
2022-12-15,43001,6.0
2022-12-22,43001,6.0
2022-12-29,43001,6.0
2023-02-23,43001,0.0
2023-03-02,43001,0.0
2023-03-09,43001,0.0
2023-03-16,43001,0.0
2023-03-23,43001,0.0
2023-03-30,43001,5.0
2023-04-06,43001,5.0
2023-04-13,43001,5.0
2023-04-20,43001,0.0
2023-04-27,43001,0.0
2023-05-04,43001,0.0
2023-05-11,43001,0.0
2023-05-18,43001,0.0
2023-05-25,43001,0.0
2021-09-26,43003,20.0
2021-10-03,43003,16.0
2021-10-17,43003,13.0
2021-10-24,43003,7.0
2021-10-31,43003,6.0
2021-11-07,43003,9.0
2021-11-14,43003,0.0
2021-11-17,43003,0.0
2021-11-28,43003,12.0
2021-12-01,43003,14.0
2021-12-05,43003,20.0
2021-12-12,43003,25.0
2021-12-19,43003,23.0
2021-12-26,43003,23.0
2022-01-02,43003,32.0
2022-01-09,43003,50.0
2022-01-16,43003,69.0
2022-01-23,43003,70.0
2022-01-30,43003,53.0
2022-02-06,43003,34.0
2022-02-13,43003,14.0
2022-02-20,43003,6.0
2022-02-27,43003,6.0
2022-03-06,43003,0.0
2022-03-13,43003,0.0
2022-03-24,43003,0.0
2022-03-31,43003,0.0
2022-04-07,43003,0.0
2022-04-21,43003,0.0
2022-04-28,43003,0.0
2022-05-05,43003,0.0
2022-05-12,43003,7.0
2022-05-19,43003,11.0
2022-05-26,43003,5.0
2022-06-02,43003,0.0
2022-06-09,43003,5.0
2022-06-23,43003,0.0
2022-06-30,43003,0.0
2022-07-07,43003,6.0
2022-07-14,43003,11.0
2022-07-21,43003,11.0
2022-07-28,43003,8.0
2022-08-04,43003,8.0
2022-08-11,43003,6.0
2022-08-18,43003,7.0
2022-08-25,43003,8.0
2022-09-01,43003,8.0
2022-09-08,43003,7.0
2022-09-15,43003,6.0
2022-09-22,43003,0.0
2022-09-29,43003,0.0
2022-10-06,43003,6.0
2022-10-13,43003,8.0
2022-10-20,43003,7.0
2022-10-27,43003,0.0
2022-11-03,43003,6.0
2022-11-10,43003,0.0
2022-11-17,43003,7.0
2022-11-23,43003,0.0
2022-12-01,43003,0.0
2022-12-08,43003,5.0
2022-12-15,43003,7.0
2022-12-22,43003,7.0
2022-12-29,43003,0.0
2023-02-23,43003,0.0
2023-03-02,43003,0.0
2023-03-09,43003,0.0
2023-03-16,43003,0.0
2023-03-23,43003,0.0
2023-03-30,43003,0.0
2023-04-06,43003,0.0
2023-04-13,43003,0.0
2023-04-20,43003,0.0
2023-04-27,43003,0.0
2023-05-04,43003,0.0
2023-05-11,43003,0.0
2023-05-18,43003,0.0
2023-05-25,43003,0.0
2021-09-26,43004,180.0
2021-10-03,43004,139.0
2021-10-17,43004,92.0
2021-10-24,43004,104.0
2021-10-31,43004,110.0
2021-11-07,43004,120.0
2021-11-14,43004,132.0
2021-11-17,43004,135.0
2021-11-28,43004,141.0
2021-12-01,43004,128.0
2021-12-05,43004,141.0
2021-12-12,43004,145.0
2021-12-19,43004,157.0
2021-12-26,43004,276.0
2022-01-02,43004,642.0
2022-01-09,43004,937.0
2022-01-16,43004,0.0
2022-01-23,43004,696.0
2022-01-30,43004,406.0
2022-02-06,43004,184.0
2022-02-13,43004,85.0
2022-02-20,43004,52.0
2022-02-27,43004,41.0
2022-03-06,43004,17.0
2022-03-13,43004,11.0
2022-03-24,43004,14.0
2022-03-31,43004,11.0
2022-04-07,43004,18.0
2022-04-21,43004,13.0
2022-04-28,43004,29.0
2022-05-05,43004,40.0
2022-05-12,43004,68.0
2022-05-19,43004,81.0
2022-05-26,43004,76.0
2022-06-02,43004,101.0
2022-06-09,43004,104.0
2022-06-23,43004,82.0
2022-06-30,43004,83.0
2022-07-07,43004,82.0
2022-07-14,43004,127.0
2022-07-21,43004,110.0
2022-07-28,43004,113.0
2022-08-04,43004,117.0
2022-08-11,43004,112.0
2022-08-18,43004,95.0
2022-08-25,43004,84.0
2022-09-01,43004,95.0
2022-09-08,43004,81.0
2022-09-15,43004,55.0
2022-09-22,43004,46.0
2022-09-29,43004,38.0
2022-10-06,43004,32.0
2022-10-13,43004,39.0
2022-10-20,43004,42.0
2022-10-27,43004,41.0
2022-11-03,43004,46.0
2022-11-10,43004,42.0
2022-11-17,43004,34.0
2022-11-23,43004,37.0
2022-12-01,43004,50.0
2022-12-08,43004,84.0
2022-12-15,43004,74.0
2022-12-22,43004,74.0
2022-12-29,43004,54.0
2023-02-23,43004,35.0
2023-03-02,43004,28.0
2023-03-09,43004,22.0
2023-03-16,43004,32.0
2023-03-23,43004,34.0
2023-03-30,43004,33.0
2023-04-06,43004,33.0
2023-04-13,43004,33.0
2023-04-20,43004,10.0
2023-04-27,43004,8.0
2023-05-04,43004,11.0
2023-05-11,43004,17.0
2023-05-18,43004,17.0
2023-05-25,43004,17.0
2021-09-26,43006,0.0
2021-10-03,43006,0.0
2021-10-17,43006,0.0
2021-10-24,43006,0.0
2021-10-31,43006,0.0
2021-11-07,43006,0.0
2021-11-14,43006,0.0
2021-11-17,43006,0.0
2021-11-28,43006,0.0
2021-12-01,43006,0.0
2021-12-05,43006,0.0
2021-12-12,43006,0.0
2021-12-19,43006,6.0
2021-12-26,43006,5.0
2022-01-02,43006,0.0
2022-01-09,43006,6.0
2022-01-16,43006,6.0
2022-01-23,43006,9.0
2022-01-30,43006,0.0
2022-02-06,43006,0.0
2022-02-13,43006,0.0
2022-02-20,43006,0.0
2022-02-27,43006,0.0
2022-03-06,43006,0.0
2022-03-13,43006,0.0
2022-03-24,43006,0.0
2022-03-31,43006,0.0
2022-04-07,43006,0.0
2022-04-21,43006,0.0
2022-04-28,43006,0.0
2022-05-05,43006,0.0
2022-05-12,43006,0.0
2022-05-19,43006,0.0
2022-05-26,43006,0.0
2022-06-02,43006,0.0
2022-06-09,43006,0.0
2022-06-23,43006,0.0
2022-06-30,43006,0.0
2022-07-07,43006,0.0
